연번,업체명,연락처,시도,시군구,기본주소,상세주소,주요사업
1,박성구과자점,031-595-0098,경기,남양주시,경기 남양주시 금곡동 404-41,1층 박성구과자점,제과
2,덕성이발관,031-5592-5685,경기,남양주시,경기 남양주시 금곡동 430-40,금곡로28,이·미용
3,팡페이장제과점,054-248-6163,경북,포항시,경북 포항시 북구 대안길 69 (용흥동),"가동 101호 (용흥동, 제일상가)","제과,제빵"
4,배영숙산야초밥상,043-543-1136,충북,보은군,"충북 보은군 속리산면 법주사로 253 (사내리, 배영숙 산야초밥상)",배영숙 산야초밥상,산채정식
5,신내보리밥,031-771-9199,경기,양평군,경기 양평군 개군면 공서울길 39 (공세리),1층,보리밥
6,옥천면옥,031-772-5187,경기,양평군,경기 양평군 옥천면 옥천길 13 (옥천리),옥천면옥,냉면
7,정미소 김치관,031-261-0042,경기,용인시,경기 용인시 수지구 신봉1로 302 (신봉동),1층,김치만두전골
8,장수촌,031-262-7711,경기,용인시,경기 용인시 수지구 동천로 631 (고기동),1층,백숙
9,(주)제일레져,053-554-5524,대구,동구,"대구 동구 팔공로 535 (지묘동, 제일레져)",제일레져,철물구조
10,미세스고등어본점,054-291-9018,경북,포항시,경북 포항시 남구 정몽주로 873 (청림동),미세스고등어 본점,고등어구이
11,금산삼계탕고디탕,054-277-5520,경북,포항시,경북 포항시 북구 중흥로 145 (죽도동),금산삼계탕고디탕,삼계탕
12,옛맛집,053-526-6165,대구,달서구,대구 달서구 구마로14길 111 (본동),옛맛집,삼겹살구이
13,초가숯불갈비,032-427-3131,인천,부평구,인천 부평구 열우물로49번길 8 (십정동),1~2층,갈비
14,진주식당,054-262-1632,경북,포항시,경북 포항시 북구 송라면 중산리 539-30,진주식당,한식
15,서민갈비,053-761-2267,대구,수성구,대구 수성구 들안로 8-5 (두산동),서민갈비,갈비
16,동해회집,053-792-4060,대구,수성구,대구 수성구 신매로16길 16-2 (신매동),동해회집,회
17,데일리호스브라운,053-795-5777,대구,수성구,대구 수성구 달구벌대로625길 9 (시지동),데일리호스브라운,베이커리
18,케익나라,031-666-7688,경기,평택시,경기 평택시 지산동 755-8,1층 케익나라,"제과, 제빵"
19,새댁식육점,053-956-8413,대구,동구,대구 동구 아양로 53-9 (신암동),새댁식육점,고기판매
20,오복기름집,031-754-2294,경기,성남시,경기도 성남시 중원구 둔촌대로83번길 7-5(성남동),1층 오복기름집,기름 도소매
21,금성기름집,031-754-6006,경기,성남시,경기도 성남시 중원구 둔촌대로69번길 8(성남동),1층,기름 도소매
22,대광기름집,031-754-9738,경기,성남시,경기도 성남시 중원구 둔촌대로83번길 7(성남동),1층 대광기름집,"참기름,들기름,고추"
23,박터진흥부네,053-851-7042,경북,경산시,경북 경산시 와촌면 소월리 789-1,박터진 흥부네 ,한정식
24,복터진집본점,054-471-5101,경북,구미시,경북 구미시 인동북길 67 (인의동),1층,복어
25,교학사,054-857-7131,경북,안동시,경북 안동시 대안로 168-1 (남부동),1층,서적
26,재두식당,055-862-6022,경남,남해군,경남 남해군 상주면 남해대로 918-13 (상주리),재두식당,멸치쌈밥
27,평양아바이순대국밥,054-442-8998,경북,구미시,경북 구미시 고아읍 들성로 61 (원호리),2동 1층,순대국밥
28,빵뜨락,032-513-0150,인천,계양구,"인천 계양구 황어로115번길 10 (오류동, 신동아아파트)",신동아아파트상가101호,"제과,제빵"
29,낮엔해처럼밤엔달처럼,051-312-8337,부산,사상구,"부산 사상구 가야대로 288 (주례동, 창조센츄리아파트)",102호,안경원
30,헤어플레이스에이청학점,033-635-5823,강원,속초시,강원 속초시 중앙로 73 (청학동),2층,미용
31,마루솥뚜껑와인삼겹살,031-480-3010,경기,안산시,"경기 안산시 단원구 광덕대로 145 (고잔동, 강희그랜드오피스텔)",205호 ,삼겸살구이
32,이천영양돌솥밥,031-428-2600,경기,안산시,경기 안산시 상록구 항가울로 7 (사동),이천영양돌솥밥,한식
33,궁중삼계탕,052-244-1156,경기,안산시,"경기 안산시 상록구 석호공원로 69 (사동, 인우빌)",101호 ,삼계탕
34,용금옥,02-777-4749,서울,종로구,서울 종로구 자하문로 41-2 (통인동),1층,추어탕
35,동해안횟집,033-533-4474,강원,동해시,강원 동해시 일출로 61 (묵호진동),동해안횟집,회
36,평택고추상회,031-373-4851,경기,오산시,"경기 오산시 오산로272번길 13 (오산동, 평택방앗간)",1층,고춧가루 및 참기름
37,동막막국수,033-573-5083,강원,삼척시,강원 삼척시 근덕면 문의재로 3777-12 (동막리),동막막국수,막국수
