addr,lat,lng
강원특별자치도 강릉시,,
강원특별자치도 강릉시 가작로 10,37.769138,128.876791
강원특별자치도 강릉시 가작로 128-1 (교동),37.769540,128.890127
강원특별자치도 강릉시 가작로 13 (교동),37.769437,128.877100
강원특별자치도 강릉시 가작로 15 (교동),37.769440,128.877435
강원특별자치도 강릉시 가작로 16,37.769133,128.877413
강원특별자치도 강릉시 가작로 16-1 (교동),37.769149,128.877558
강원특별자치도 강릉시 가작로 20 (교동),37.769089,128.877882
강원특별자치도 강릉시 가작로 21-1 (교동),37.769416,128.878155
강원특별자치도 강릉시 가작로 264 (포남동),37.770005,128.904149
강원특별자치도 강릉시 가작로 8,37.769185,128.876458
강원특별자치도 강릉시 강동면 강동초교길42,37.721532,128.961477
강원특별자치도 강릉시 강동면 단경로 54,37.721536,128.961784
강원특별자치도 강릉시 강동면 대동안길 15,37.725617,128.977970
강원특별자치도 강릉시 강동면 대동안길 17,37.725386,128.978087
강원특별자치도 강릉시 강동면 시동서당길 113,37.730536,128.951267
강원특별자치도 강릉시 강동면 안인진길 45,37.735700,128.988573
강원특별자치도 강릉시 강동면 염전길 155,37.741069,128.984300
강원특별자치도 강릉시 강동면 율곡로 2201,37.727246,128.954719
강원특별자치도 강릉시 강동면 정동1길 6,37.690998,129.032625
강원특별자치도 강릉시 강동면 정동등명길 23,37.703902,129.016125
강원특별자치도 강릉시 강동면 정동등명길 3,37.702729,129.015821
강원특별자치도 강릉시 강동면 풍호길 100-1,37.737736,128.953495
강원특별자치도 강릉시 강동면 헌화로 1017,37.685966,129.036674
강원특별자치도 강릉시 강동면 헌화로 1018 2층,37.686176,129.036740
강원특별자치도 강릉시 강동면 헌화로 1025 2~3층,37.686419,129.035949
강원특별자치도 강릉시 강동면 헌화로 1029-5,37.686317,129.035651
강원특별자치도 강릉시 강동면 헌화로 1029-6 1층,37.686512,129.035331
강원특별자치도 강릉시 강동면 헌화로 1078,37.689051,129.032592
강원특별자치도 강릉시 강동면 헌화로 1080,37.689161,129.032567
강원특별자치도 강릉시 강동면 헌화로 1094 지하1층,37.690528,129.032201
강원특별자치도 강릉시 강동면 헌화로 1096-1 1층,37.690757,129.031916
"강원특별자치도 강릉시 강동면 헌화로 643, 101호",37.664889,129.052913
강원특별자치도 강릉시 강동면 헌화로 653,37.665000,129.052008
강원특별자치도 강릉시 강동면 헌화로 670,37.665275,129.050710
강원특별자치도 강릉시 강동면 헌화로 912 1층,37.680945,129.042778
강원특별자치도 강릉시 강동면 헌화로 993,37.686400,129.039511
강원특별자치도 강릉시 강동면 헌화로 997,37.685848,129.038948
강원특별자치도 강릉시 강릉대로 155 (교동),37.757341,128.887469
"강원특별자치도 강릉시 강릉대로 172, 1층 1호(교동)",37.757201,128.889289
강원특별자치도 강릉시 강릉대로 197 (교동),37.758118,128.892140
강원특별자치도 강릉시 강릉대로 198,37.757780,128.892307
강원특별자치도 강릉시 강릉대로 205,37.758325,128.892989
강원특별자치도 강릉시 강릉대로 244 (교동),37.759772,128.896898
강원특별자치도 강릉시 강릉대로 337-4(포남동),37.766199,128.903999
