name,addr,kind
영진횟집,강원 강릉시 연곡면 해안로 1427,음식점
강릉짬뽕순두부 동화가든 본점,강원 강릉시 초당순두부길77번길 15,음식점
용복통닭 속초본점,강원 속초시 먹거리2길 7 용복통닭,음식점
솔밭가든막국수,강원 속초시 부월1길 17 솔밭가든막국수,음식점
88순대국,강원 속초시 중앙로129번길 35-13 88순대국,음식점
원조동해순대국,강원 속초시 중앙로129번길 35-17,음식점
우담,강원 원주시 능라동길 47 401호 우담,음식점
금성식당,강원 원주시 중앙로 28,음식점
커피라디오 본점,강원 원주시 치악고교길 19 커피라디오,카페
라모스버거 원주직영점,강원 원주시 행구로 207 1층,음식점
메바우명가춘천막국수,강원 춘천시 당간지주길 76,음식점
자유빵집,강원 춘천시 만천로199번길 28 1층,카페
실비막국수,강원 춘천시 소양고개길 25,음식점
육림닭강정,강원 춘천시 소양고개길 46,음식점
춘천명물닭갈비,강원 춘천시 옛경춘로 813,음식점
라모스버거,강원 춘천시 옛경춘로 835,음식점
황태덕장,강원 평창군 대관령면 눈마을길 21 황태덕장,음식점
새말토종순대본점,강원 횡성군 우천면 우항새말길 20-16,음식점
함밭식당,강원 횡성군 횡성읍 섬강로 88 함밭식당,음식점
구성각,경기 가평군 가평읍 중촌로 15-47,음식점
청평호반닭갈비막국수 청평본점,경기 가평군 청평면 강변로 45-7 청평호반닭갈비막국수 청평본점,음식점
숏컷로스터스,경기 고양시 일산동구 성석로 218-16 숏컷로스터스,카페
락희안 일산점,경기 고양시 일산동구 중앙로 1205 차병원 2층 207호,음식점
만춘,경기 과천시 과천대로7길 26 B타워162호,음식점
박야 비스트로,경기 광명시 광명로893번길 12 1층 101호 박야 비스트로,BAR
이학순베이커리 소하상업지구점,경기 광명시 소하로75번길 10 1층 104호,카페
조선식탁오정족발,경기 광명시 오리로854번길 16-11 1층,음식점
위클리 테이블 구리,경기 구리시 안골로97번길 37 2층 위클리테이블,음식점
백련 오리백숙과 야외바베큐장 불멍삼겹살 묵은지 닭볶음탕,경기 남양주시 별내면 용암제청말길 121,음식점
송월관,경기 동두천시 큰시장로 28-10,음식점
나리스키친 부천,경기 부천시 원미구 신흥로 150,음식점
봉봉커피앤디저트,경기 성남시 분당구 백현로144번길 19-1 1층,카페
미담 휴,경기 성남시 분당구 성남대로331번길 9-12 우경빌딩 2층,음식점
우수옥 정자본점,경기 성남시 분당구 정자일로 120,음식점
라비떼,경기 성남시 분당구 판교공원로3길 16,음식점
서현실비 본점,경기 성남시 분당구 황새울로311번길 14,음식점
상원회관 광교한우본점,경기 수원시 영통구 대학1로 12 1층 상원회관 광교한우본점,음식점
해피누디,경기 수원시 영통구 도청로 95,카페
스매쉬드 매스 본점,"경기 수원시 영통구 청명남로4번길 8 1층 102호, 103호",음식점
송풍갈비,경기 수원시 장안구 경수대로 1013,음식점
보리네주먹고기,경기 수원시 장안구 율전로98번길 6-9,음식점
동호간장게장,경기 수원시 팔달구 장다리로 268 1층,음식점
밀가랑 칼국수 시흥본점,경기 시흥시 하우로 66,음식점
피제리아 라쪼,"경기 안산시 단원구 광덕1로 165 108호, 109호",음식점
사계솥밥 안산 본점,경기 안산시 단원구 광덕대로 161,음식점
