lcns_no,addr
18990105005,"서울특별시 강남구 봉은사로 524(1층 삼성동, 인터컨티넨탈 서울 코엑스)"
18990105015,서울특별시 강남구 봉은사로 524(웨스틴 서울 파르나스 1층 삼성동)
19650141003,"부산광역시 해운대구 해운대해변로 333(1,2층 중동)"
19680378002,경기도 양평군 양평읍 양근로 204-1
19690152002,부산광역시 수영구 수영로384번길 6(1층 남천동)
19710147006,"부산광역시 금정구 하정로 66(선동, 외 6필지)"
19710158027,대구광역시 중구 중앙대로81길 7(동일동)
19720086039,"서울특별시 영등포구 영등포로42길 6(영등포동3가,1층)"
19720208001,"인천광역시 서해구 도요지로 37(경서동, 외120필지 국제골프장내)"
19720512002,전남광주통합특별시 나주시 금성관길 2(1층 중앙동)
19730029075,서울특별시 중구 소공로 106(소공동)
19750025039,서울특별시 중구 서애로1길 11(상가 101호 충무로5가)
19750029003,서울특별시 중구 마른내로 108(오장동)
19750345001,"경기도 광주시 남한산성면 엄미길 93-4(지1층,1~2층)"
19760029025,"서울특별시 중구 소공로 106(소공동, 1층)"
19760029055,서울특별시 중구 소공로 106(소공동)
19760029061,서울특별시 중구 소공로 106(소공동)
19760166036,대구광역시 남구 대명로 208(1층 대명동)
19760560002,경상북도 경산시 진량읍 경부고속도로 105
19760571025,"경상북도 예천군 예천읍 맛고을길 32(,222-258)"
19770158042,대구광역시 중구 동덕로36길 9-5(1층 동인동1가)
19770353001,경기도 용인시 수지구 경부고속도로 400(죽전동)
19780348002,경기도 용인시 처인구 포곡읍 에버랜드로 199
19780474011,충청남도 예산군 덕산면 수덕사안길 33-5
19790029023,서울특별시 중구 퇴계로76길 33(무학동)
19790129005,부산광역시 동구 정공단로 49(범일동)
19790141012,"부산광역시 해운대구 좌동순환로468번가길 20(중동, 1층일부)"
19790158027,대구광역시 중구 동덕로36길 9-9(동인동1가)
19790392004,강원특별자치도 속초시 설악산로 998(설악동)
19790392005,강원특별자치도 속초시 설악산로 998(설악동)
19790490001,전북특별자치도 정읍시 북면 정신로 135-61
19800290038,경기도 안양시 만안구 안양로329번길 17(안양동)
19800513010,전남광주통합특별시 광양시 진월면 신답길 24-14(2층중1층일부)
19800513011,전남광주통합특별시 광양시 진월면 섬진강매화로 141
19810029036,서울특별시 중구 퇴계로36길 10(필동2가)
19810128053,부산광역시 서구 구덕로274번길 5(동대신동1가)
19820025079,서울특별시 종로구 종로31길 38(연지동)
19820105087,서울특별시 강남구 강남대로 506(논현동)
19820478009,전북특별자치도 전주시 완산구 홍산1길 6(효자동2가)
19830076136,서울특별시 강서구 방화대로 94(메이필드호텔 1층 외발산동)
19830120060,서울특별시 강동구 천호대로155길 12(천호동)
19830192010,인천광역시 제물포구 샛골로 160(송림동)
19830368021,경기도 광주시 중앙로 184(송정동)
19830392015,강원특별자치도 속초시 미시령로2983번길 111(장사동)
19830463023,충청남도 서산시 대산읍 구진로 31
19830527020,전남광주통합특별시 영광군 영광읍 물무로 106-4
19830631004,제주특별자치도 서귀포시 안덕면 사계남로 167
19830631014,제주특별자치도 서귀포시 중문관광로72번길 29-29(색달동)
19840033134,"서울특별시 용산구 후암로 101(동자동,지상1층)"
